A A A A	63	0	43.4	49.6	0	1.2	3.4	2.4	0	0	0	100	K K 9 4	37	0	23	38.8	15.6	7.4	3.1	10.7	1.4	0	0	100	
A A A A	64.5	0	44	47.4	0	1.6	4.5	2.5	0	0	0	100	K K 9 3	35.5	0	23.1	39.5	15.8	6.7	4.4	8.7	1.8	0	0	100	
A A A A	65.2	0	41.6	49.7	0	0.9	4.1	3.6	0	0	0.1	100	K K 9 2	34.8	0	23.2	37.3	15.3	6.6	3.8	12	1.8	0	0	100	
A A A A	59.8	0	43.3	48.3	0	1.5	3.3	3.5	0	0.1	0	100	K K 8 8	40.2	0	20.3	32.8	21	4.3	3	16.4	2.2	0	0	100	
A A A A	59	0	43.6	47.5	0	1.7	4.4	2.8	0	0	0	100	K K 8 7	41	0	21	34.7	15.3	12.3	4	11.5	1.1	0.1	0	100	
A A A A	60.3	0	42.2	50.2	0	1.4	4	2.2	0	0	0	100	K K 8 6	39.7	0	20.4	37.4	16.1	10.9	3.6	10.5	1	0.1	0	100	
A A A A	63.5	0	40.8	49.8	0	1.1	5.2	3.1	0	0	0	100	K K 8 5	36.5	0	21	38.6	15.7	7.1	4.6	12.2	0.8	0	0	100	
A A A A	63.6	0	44.8	45.4	0	1.9	5	2.9	0	0	0	100	K K 8 4	36.4	0	24.5	35.3	15.8	6.1	4.7	12.2	1.4	0	0	100	
A A A A	67.8	0	43.6	48.8	0	1.4	3.9	2.3	0	0	0	100	K K 8 3	32.2	0	26.8	38.2	14.7	5.2	3.7	9.7	1.7	0	0	100	
A A A A	67.2	0	42.7	48.6	0	1.5	3.6	3.6	0	0	0	100	K K 8 2	32.8	0	24.7	39.4	15.3	4.5	3.4	11.1	1.6	0	0	100	
A A A A	59.4	0	44.7	48.4	0	0.5	4.3	2.1	0	0	0	100	K K 7 7	40.6	0	20	33.1	22	3.9	4	15.5	1.4	0.1	0	100	
A A A A	59.6	0	46	46.1	0	1	4.7	2.2	0	0	0	100	K K 7 6	40.4	0	21.8	36	15.1	11.5	4.2	10	1.3	0.1	0	100	
A A A A	62.9	0	44.4	47.6	0	0.7	4	3.3	0	0	0	100	K K 7 5	37.1	0	24	36	13.8	9.7	3.7	11.4	1.4	0	0	100	
A A A A	60.9	0	46.5	44.6	0	1.8	4.2	2.9	0	0	0	100	K K 7 4	39.1	0	23.2	34.5	16.3	11.2	4.1	9.6	1.1	0	0	100	
A A A A	64.6	0	42	49.5	0	1.5	5.1	1.9	0	0	0	100	K K 7 3	35.4	0	22.7	38.8	15.7	6.6	4.4	10.7	1.1	0	0	100	
A A A A	68	0	42.5	50	0	1.7	3.7	2.1	0	0	0	100	K K 7 2	32	0	25.3	40.2	14.7	4.3	3.7	11.1	0.7	0	0	100	
A A A A	60.3	0	40	51.1	0	1.5	4.6	2.8	0	0	0	100	K K 6 6	39.7	0	19.8	33.3	19.1	3.2	4.4	17.5	2.7	0	0	100	
A A A A	60.8	0	43.7	47.6	0	1.3	4.8	2.6	0	0	0	100	K K 6 5	39.2	0	21.5	35.5	15.3	13.4	4.4	9	0.9	0	0	100	
A A A A	60.8	0	42.6	49.8	0	1.2	3.8	2.5	0	0	0.1	100	K K 6 4	39.2	0	21.9	36.1	15	9.5	3.7	12.6	1.2	0	0	100	
A A A A	59.2	0	43.9	48.1	0	1.1	4.7	2.2	0	0	0	100	K K 6 3	40.8	0	22.1	35.8	15.9	9.5	4.2	11.2	1.3	0	0	100	
A A A A	66.5	0	44.8	46.1	0	1.7	4.9	2.5	0	0	0	100	K K 6 2	33.5	0	25.5	37.8	14.4	7	4.7	9.5	1.1	0	0	100	
A A A A	61.4	0	44.5	46.8	0	1.6	4	3	0	0.1	0	100	K K 5 5	38.6	0	22.4	31.5	20	3.7	3.6	17.4	1.4	0	0	100	
A A A A	60.4	0	44.2	48.5	0	1.3	4.1	1.8	0	0.1	0	100	K K 5 4	39.6	0	21.3	35.8	17.3	10.9	3.9	9.2	1.5	0.1	0	100	
A A A A	62.8	0	46	46.7	0	1.3	3.5	2.5	0	0	0	100	K K 5 3	37.2	0	23.6	37.2	17.4	6.7	3.4	10.4	1.2	0.1	0	100	
A A A A	64.1	0	43	49.1	0	1.2	2.5	4.1	0	0	0.1	100	K K 5 2	35.9	0	23.3	39	15.5	6.3	2.3	12.1	1.5	0	0	100	
A A A A	60.5	0	44.7	46.8	0	1.6	4.3	2.6	0	0	0	100	K K 4 4	39.5	0	20.8	32.1	23.4	2.1	3.7	15.8	2.1	0	0	100	
A A A A	65.2	0	42.1	49.7	0	2.1	3.8	2.3	0	0	0	100	K K 4 3	34.8	0	23.5	37.8	15.7	7.2	3.6	10.5	1.7	0	0	100	
A A A A	63.3	0	43.3	48.3	0	2	3.8	2.6	0	0	0	100	K K 4 2	36.7	0	23.9	34.5	17.7	5.8	3.7	13	1.4	0	0	100	
A A A A	61.1	0	42	50.5	0	1.4	3	3.1	0	0	0	100	K K 3 3	38.9	0	20.3	33.9	21.1	2.5	2.7	17.2	2.3	0	0	100	
A A A A	67.1	0	43.6	48.8	0	1	3.6	3	0	0	0	100	K K 3 2	32.9	0	25.4	39.5	14	4	3.4	12.2	1.5	0	0	100	
A A A A	60.4	0	40.9	50.5	0	1.5	4.2	2.8	0	0	0.1	100	K K 2 2	39.6	0	19.2	33.5	21	2.4	3.9	17.5	2.5	0	0	100	
