7 2	35.5649	21.4299	15.1673	11.7062	9.57942	8.14523	7.06531	6.34599	5.66015	40.7577	26.6839	20.0898	16.3783	13.7969	12.5569	11.3182	10.4812	9.63117
6 6	63.3265	43.1769	31.5012	24.4175	20.1097	17.1447	15.3395	14.0353	13.0676	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
6 5	40.7647	27.5155	20.8035	16.8095	14.1667	12.531	11.0865	10.1167	9.32679	46.3547	32.2219	25.1854	21.2745	18.485	16.943	15.3345	14.4107	13.4742
6 4	38.6028	25.8301	19.1925	15.2294	13.0471	11.2593	10.0831	9.05549	8.32662	43.8318	30.597	23.7585	19.8392	17.5992	15.6402	14.467	13.2058	12.4423
6 3	37.0481	23.851	17.5256	13.7924	11.4181	9.90641	8.81012	7.94439	7.25946	43.153	28.3535	22.5424	18.4341	15.9745	14.2519	13.0127	12.0672	11.1642
6 2	35.1664	21.847	15.6757	12.3678	10.1725	8.67643	7.70742	6.92937	6.24668	40.5705	26.936	20.4273	16.98	14.5776	12.9124	11.8818	11.1864	10.0794
5 5	60.5424	39.6905	28.6748	22.4222	18.5668	16.1202	14.4373	13.3487	12.4484	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
5 4	38.894	26.1407	19.7873	16.1086	13.662	11.9627	10.7375	9.77694	9.04544	44.7384	30.7772	24.069	20.7435	18.0591	16.4097	14.8837	13.8376	13.1475
5 3	37.3327	24.495	18.3332	14.6549	12.4392	10.8773	9.80543	8.9881	8.28309	42.816	29.3302	23.1024	19.0069	16.9488	15.2529	13.9005	13.0558	12.1451
5 2	35.1351	22.6579	16.5335	13.1724	10.9619	9.65597	8.56797	7.83541	7.22655	41.1197	27.6601	21.2347	17.837	15.287	13.7113	12.5228	11.9129	11.2157
4 4	57.0852	36.9693	26.3252	20.6276	17.2021	15.2893	14.1121	12.9952	12.1227	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
4 3	36.3122	23.4833	17.4546	14.0087	11.8767	10.2714	9.26251	8.48263	7.83804	41.786	28.0757	22.0562	18.3052	16.3139	14.5216	13.2868	12.5385	11.7636
4 2	34.3019	21.7322	15.8567	12.5112	10.5365	9.34072	8.29762	7.58179	6.989	40.0706	26.6488	20.3491	16.895	14.716	13.5908	12.1811	11.473	10.8312
3 3	53.8544	33.6012	24.2211	19.2826	16.2734	14.638	13.5725	12.7892	12.0972	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
3 2	33.2016	20.7509	15.0436	11.9147	10.022	8.73137	7.83535	7.10766	6.45233	38.4399	25.6205	19.7272	16.3003	14.0606	12.7291	11.6751	10.9328	10.0863
2 2	50.2692	30.6085	21.9123	17.6661	15.534	14.0512	13.3921	12.6032	11.9935	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
